0,1,0,3,4,24,24,24048028
1,1,0,45,39,24,24,23219635
2,1,999,16,43,4620,-1,20642404
3,1,0,29,59,24,24,40394720
4,1,0,48,47,24,24,4619104
5,1,999,18,31,4620,-1,32348123
6,1,0,40,38,24,24,17889305
7,1,0,58,50,24,24,37651684
8,1,0,54,44,24,24,3226873
9,1,999,34,52,4620,-1,47173703
10,1,0,57,32,24,24,16994449
11,1,0,36,13,24,24,51120120
12,1,0,47,56,24,24,30644817
13,1,999,18,37,4620,-1,44273640
14,1,999,59,53,4620,-1,30835038
15,1,999,57,20,4620,-1,17806098
16,1,999,50,16,4620,-1,39663047
17,1,0,23,12,24,24,30730023
18,1,999,56,14,4620,-1,9173557
19,1,999,25,26,4620,-1,37219643
20,1,0,29,28,24,24,40099487
21,1,999,50,46,4620,-1,48240549
22,1,999,6,25,69300,-1,33360506
23,1,0,4,8,24,24,47739337
24,1,0,19,30,24,24,19042693
25,1,999,57,30,4620,-1,44714931
26,1,999,11,7,4620,-1,22610304
27,1,999,59,32,83160,-1,7684475
28,1,0,29,49,24,24,10297753
29,1,999,53,5,4620,-1,11087833
30,1,0,11,50,24,24,36653724
31,1,0,34,45,24,24,19522467
32,1,999,11,19,4620,-1,5790100
33,1,999,6,42,4620,-1,11959383
34,1,0,6,1,24,24,15696318
35,1,999,6,33,4620,-1,1004344
36,1,0,0,12,24,24,33673599
37,1,0,20,47,24,24,32825237
38,1,0,36,23,24,24,25722060
39,1,0,9,8,24,24,14097060
40,1,0,5,43,24,24,23864263
41,1,0,8,49,24,24,5611843
42,1,0,17,18,24,24,43163272
43,1,999,6,43,4620,-1,46406888
44,1,0,38,58,24,24,8276712
45,1,0,18,19,24,24,18986050
46,1,999,36,37,4620,-1,37577994
47,1,999,42,49,4620,-1,19468242
48,1,999,13,62,4620,-1,44749683
49,1,999,48,16,73920,-1,44015890
50,1,0,51,45,24,24,10509950
51,1,999,28,63,4620,-1,3687986
52,1,999,29,48,4620,-1,2400306
53,1,999,44,31,40040,-1,2633620
54,1,999,10,22,4620,-1,9422071
55,1,999,24,59,4620,-1,14540835
56,1,0,9,2,24,24,3201297
57,1,0,36,31,24,24,4744630
58,1,0,48,26,24,24,29449543
